ID,MARK,PN,MANUFACTURER,MANUFACTURER PART #,DESCRIPTION,QTY,W,H,D
1,SCB1,SPCB=SU201M-C13,ABB,SU201M-C13,"MINIATURE CIRCUIT BREAKER, 230 VAC, 13A, 1 POLE, C-CURVE TRIP",1,,,
2,"SCB2, SCB3",SPCB=SU201M-C4,ABB,SU201M-C4,"MINIATURE CIRCUIT BREAKER, 230 VAC, 4A, 1 POLE, C-CURVE TRIP",2,,,
3,N7,ELCO=ACUVIM-AXM-WEB2,Accuenergy,AXM-WEB2,MULTIFUNCTION POWER AND ENERGY METER COMMUNICATION MODULE,1,,,
4,N7,ELCO=ACUVIM-CL-M-5A-P1V4,Accuenergy,Acuvim-CL-M-5A-P1V4,"MULTIFUNCTION POWER AND ENERGY METER, 1-5A, 100-415 VAC",1,,,
5,"CT1, CT2, CT3",INCT=2031-1001,Accuenergy,AcuCT-2031-1000:5,"SPLIT-CORE CURRENT TRANSFORMER, 1000:5A",3,,,
6,N2,ELTO=TPC-107WX,Advantech Corp,TPC-107WX-N32YA,"TOUCH SCREEN HMI, 7"" SCREEN, 2GB RAM, 16GB STORAGE, -30C TO 70C",1,,,
7,"S2, S3",ELSE=PS21L-NS11R1-T00,Carlo Gavazzi,PS21L-NS11R1-T00,"SWITCH LIMIT, ROLLER LEVER, SPST-NO, SPST-NC, 10A",2,,,
8,PS1,ELSE=DPS-AFS262,Cleveland Controls,AFS-262,"DIFFERENTIAL PRESSURE SWITCH, 0.05-2"" WC, ADJUSTABLE, SPDT",1,,,
9,M1,ENCF=AFK300-7P5HP-480V-ST,Continental Fan,AFK300-J2-A181A09,"DIRECT DRIVE PANEL FAN, 7.5 HP, 1750 RPM, 5.5A, 480VAC, 3 PHASE",1,,,
10,"FC1, FC2, FC3, FC4, FC5, FC6, FC7, FC8, FC9, FC10, FC11, FC12, FC13, FC14, FC15, FC16, FC17, FC18, FC19, FC20, FC21, FC22, FC23, FC24, FC25, FC26, FC27, FC28, FC29, FC30, FC31, FC32, FC33, FC34, FC35, FC36, FC37, FC38, FC39, FC40, FC41, FC42, FC43, FC44, FC45, FC46, FC47, FC48, FC49, FC50, FC51, FC52, FC53, FC54, FC55, FC56, FC57, FC58, FC59, FC60, FC61, FC62, FC63, FC64, FC65, FC66, FC67, FC68, FC69, FC70, FC71, FC72, FC73, FC74, FC75",SPFU=690V-40A-BS88,Eaton Bussmann,40FE,"FUSE 40A, 690VAC, 500VDC, 200kA BREAKING CAPACITY",75,,,
11,M2,ENCF=FF-8-81-120VAC,Finder Components,7F.30.8.120.3100,"COOLING FAN, UL TYPE NEMA 3R / IP54, 120 VAC, 1.14 A, 81 CFM",1,,,
12,CPT1,INPT=SP1000ACP,Hammond,SP1000ACP,"CONTROL POWER TRANSFORMER, 1000VA",1,,,
13,"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25",SPCO=DP-600X120-40A-3NO,Hecheng Electric,SA-3P-40A-120V,"CONTACTOR, 3 POLES, 40A, 120VAC",25,,,
14,N3,ELNW=VPN-IN302,InHand,IR302,COMPACT INDUSTRIAL LTE CAT 4 ROUTER WITH 2 ETHERNET PORTS,1,,,
15,"F12, F13, F14, F4, F5, F6",SPFU=600V-1A,Mersen,ATMR1,"FUSE 1A, 600V, FAST ACTING CLASS CC",6,,,
16,"F1, F2, F3",SPFU=600V-25A-TD,Mersen,ATQR25,"FUSE 25A, 600V, TIME DELAY CLASS CC",3,,,
17,"F101, F102, F103",SPFU=600V-3A,Mersen,USCC1 / ATMR3,"FUSE 3A, 600V, FAST ACTING CLASS CC",3,,,
